vm,hour,n,mean,std,aic_lognorm,aic_norm,aic_gamma,aic_weibull_min,ksp_lognorm,ksp_norm,ksp_gamma,ksp_weibull_min,best_aic
745,13,360,0.6677430555555556,0.2226738337623037,-110.63825107392368,-55.83824518760998,-98.98265284522094,-65.50709861916609,1.2287406474777422e-16,4.824476974523114e-18,2.879508456008147e-17,3.7661723557386554e-16,lognorm
745,14,358,0.6524990023942537,0.214608369837579,-139.8173661668729,-81.92137064050507,-126.27809921083329,-91.66870283935212,1.6469123210012671e-18,4.547531587488784e-19,7.690709217115274e-19,2.3816774849509276e-17,lognorm
745,15,360,0.6607258597883598,0.21919037679706632,-123.19544868246058,-67.19078706118844,-110.45860732970449,-78.02773462578271,6.0602449603635735e-16,2.7320146925216376e-18,6.973825169863144e-17,9.75892889868849e-17,lognorm
745,16,360,0.6634093915343916,0.22152955424898105,-112.787924047734,-59.54773095127714,-100.81920167692182,-71.83836668794373,2.4560391406592316e-21,1.1268266511167754e-22,6.17784932384879e-22,3.7143443835653335e-21,lognorm
745,17,360,0.6705307539682539,0.24808007894122402,-78.1704211764636,21.953090000860715,-56.67208124686525,11.548671164332383,8.34292211464866e-21,2.0419192638193763e-20,3.897331973196683e-21,1.9832695606454993e-15,lognorm
745,18,360,0.6584275793650793,0.2168327735721055,-126.40226349487023,-74.97702897721888,-114.86953268615478,-86.40645622557787,2.0171513850647726e-20,6.792911035939049e-22,4.6496836498277675e-21,1.832589139607806e-20,lognorm
745,19,360,0.6606894841269841,0.2212438078015121,-115.82069721890778,-60.477043725591344,-103.33981827297467,-72.22581520067754,4.445876009540097e-20,3.902351099238189e-21,1.935034138812273e-20,1.79113560678144e-19,lognorm
745,20,360,0.6562003968253969,0.21508860255707626,-131.40420408654558,-80.79202229005537,-120.17210436998698,-91.6429135563373,1.4897871133125606e-19,3.94165004463794e-21,5.865047602915965e-20,1.0677172619855065e-19,lognorm
745,21,358,0.6700884543761639,0.23100754987638672,-88.6302783193106,-29.198308277016352,-75.47459007014947,-42.1052253690302,2.8282593603649315e-19,4.72235066866389e-21,4.612042022711677e-20,4.504321416066875e-19,lognorm
745,22,359,0.7747189614007162,0.44356806314310465,149.8593611863456,439.13277989531986,215.8959345240493,317.1450945284322,9.00702841263148e-12,1.197705121251937e-16,7.848564117932668e-11,1.6746892186080305e-18,lognorm
745,23,360,0.6660945767195767,0.22256929178900395,-112.19596983323495,-56.17635359553127,-99.71270003754738,-67.08146711822822,5.540139827239444e-19,2.5820465175840756e-20,1.9199983618171787e-19,1.5721057423662968e-18,lognorm
320,0,359,5.824101339700227,2.180201927206881,1541.777898004031,1582.4196316043644,1530.8948937123837,1576.2005442881616,8.563504424809168e-08,8.120238254433673e-13,7.988858478919582e-08,7.837720645126185e-12,gamma
320,1,360,6.032632275132276,3.114032512371898,1568.427788717183,1843.4970740360438,1608.5683608619197,1745.9896160432254,1.2682038254689492e-09,4.0985158498542064e-23,3.494125635683981e-13,1.0017770957619559e-16,lognorm
320,2,360,6.251243386243386,3.609860968460173,1638.4807757994258,1949.8776101794504,1689.3408507167073,1814.5972448170778,3.601731582180354e-12,3.849746793084276e-27,8.856138163831681e-17,1.3860913290026038e-18,lognorm
320,3,360,6.462530864197531,5.714682618974069,1700.0196364590533,2280.623651803581,1811.8354640323864,1947.9395245531143,1.760939696271402e-11,2.231279383812478e-31,4.03272701059829e-18,1.084604924364162e-19,lognorm
320,4,360,5.749444444444445,2.1525751876000996,1544.340866854277,1577.6344625976135,1532.8027127103637,1569.8399500380851,4.6216170842427917e-08,1.747968387493662e-12,1.0466695015768343e-07,1.0176665033803522e-11,gamma
320,5,360,5.944444444444445,2.356860225693664,1585.918993010814,1642.913574603255,1578.3864711527801,1627.4849374538112,5.626436384993139e-12,2.927880725623744e-16,6.152980053897497e-10,4.6074227369814214e-14,gamma
320,6,360,6.3879497354497365,3.3971551878169204,1683.1321386146535,1906.1513716895925,1719.910891701893,1811.1099294334826,5.838811842120852e-10,6.192462521450766e-23,6.0430214349616e-14,2.595481481001307e-16,lognorm
320,7,360,7.831005291005292,7.480649076410841,1930.2080866061046,2474.505829370249,2047.929234345679,2133.178627977056,3.1395842856298876e-10,9.621606572040292e-24,2.303793753468562e-15,1.2329197493169191e-14,lognorm
320,8,360,10.725436507936509,12.31550830081406,2229.1756553665805,2833.454443978867,2364.807081033955,2410.614122358799,6.262168653261444e-07,5.892020832279364e-25,2.205979616341486e-10,4.3337740489136825e-14,lognorm
320,9,359,11.898222575938455,13.378806328252763,2339.270163652476,2885.0542462271883,2455.749825146885,2486.2084928185077,1.6971027688590522e-07,8.629121768949053e-19,1.9785996653131414e-12,2.9211697666833074e-09,lognorm
