trace,base,rho_cpu_net,r2_mu,r2_sigma,alpha,gamma
rnd,434.csv,0.0942520876541123,0.7639155666007943,0.5688572343090014,0.0021994836194115,-0.8226813704326275
rnd,146.csv,0.6986610673446894,0.3088556580927711,0.0294293740756352,0.0226777651481416,-0.150266485076748
rnd,213.csv,0.08659934248280504,0.0132351835376984,0.2527907680842728,0.0339343620711658,-0.030591821561386
rnd,395.csv,0.49825650806686583,0.1866783583224865,0.4788027584405786,0.0448722493136461,-0.1260281528950875
rnd,211.csv,0.7070233003460017,0.2715265224911963,0.3105858399146183,0.0031846667777987,-0.0685618358872586
rnd,113.csv,0.7786261469951095,0.9144482874607824,0.9321131084761842,0.0205243813523015,-0.9264569145670803
rnd,79.csv,0.519490314796845,0.013902354141599,0.0141487476114786,0.0006106378718863,-0.2468501071259269
rnd,379.csv,0.5753444450213551,0.5258921258312563,0.4199117264287904,0.0005855994023141,0.0727856408097996
rnd,324.csv,0.6915004231780816,0.8152636558057923,0.4394525794412445,0.001586257076846,-0.3554042151338118
rnd,468.csv,-0.02898664603953742,0.0062837242974116,0.1645670790823603,0.0004591166040991,-0.0658000541940778
rnd,138.csv,0.7409769346737476,0.2954581597658607,0.0199895034145846,0.0226896264021552,-0.1421540518544708
rnd,477.csv,-0.017504888757796974,0.0054115693956428,0.0492440369622405,0.0021095303363878,-0.0371250053266531
rnd,66.csv,0.6500272196770354,0.4104118061847782,0.1972768073662967,0.005061305158797,-4.428146631101811
rnd,433.csv,0.10954708085023429,0.7049489459044975,0.7570015141538052,0.0022934710710832,-0.7847140763983668
rnd,296.csv,0.18711480185309007,0.8821366629623499,0.7989424019437799,0.0262696619189637,-0.2514291790769675
rnd,7.csv,0.508225040478785,0.0035259587170288,0.0213987324030219,0.0221979883399871,-1.3699537515789648
rnd,78.csv,0.44758769710578594,0.025613626711015,0.0073369751508749,0.0005540845580149,0.0471921934905048
rnd,103.csv,0.48758005822383044,0.935364701090018,0.9334694741042155,0.012494093352243,-0.6933864841807899
rnd,200.csv,0.7160230694146867,0.7843192255300646,0.0624919531076803,0.067395594868652,-0.2640030709315195
rnd,100.csv,0.6825248419866293,0.230742158377225,0.0565105598233874,0.0494308047353875,-0.6189051557038663
rnd,384.csv,0.6284911257592445,0.0039431984860099,0.0754941239021219,4.948823686386136e-05,7.623137015769649
rnd,172.csv,0.34700050104666047,0.6703604615915308,0.4868984151668942,0.0002849102161231,-1.6423621208880563
rnd,117.csv,0.19069289349252527,0.4973174208506696,0.6781978215949478,0.0116056552940952,-1.023571500783699
rnd,448.csv,0.1282685253548437,0.683467858839887,0.2903304896327503,0.0018233838211216,-0.001464230859496
rnd,387.csv,0.4401669855602453,0.8849864164587723,0.550107594906019,0.0326672256639237,-9.748112281906904
rnd,275.csv,0.6588848750929418,0.0210108481543345,0.7022553112608332,0.0068217369496298,-15.50792819824668
rnd,198.csv,0.039153882533209394,0.0003171046258825,0.0002717261621635,0.0005690228349726,0.002051621395982
rnd,402.csv,0.20148634673065027,0.8727891138613042,0.6369262639707791,0.0917064824230623,-0.0068990087423471
rnd,301.csv,0.10989224208319517,0.9126537312765995,0.2064534566332523,0.0836410023811801,-0.0019532450905236
rnd,191.csv,0.5319067434606107,0.065160611463492,0.5775833305899885,0.045868741343247,-0.2136823652156814
rnd,82.csv,0.72361271912338,0.0482453093868145,0.3157596189745753,2.2791602698902903e-05,-0.5695682702122981
rnd,94.csv,0.7302967981678624,0.1354070532087217,0.0378431180934722,5.448620603800492e-05,-6.636187399123323
rnd,24.csv,-0.040369073586233664,0.0005637149787333,0.0003372259678489,-0.0004237726684648,-0.0059848097578996
rnd,67.csv,0.57743521726945,0.0207673813010536,0.0002364285297009,0.0007535820166424,-0.1286657624894241
