vm,hour,n,mean,std,aic_lognorm,aic_norm,aic_gamma,aic_weibull_min,ksp_lognorm,ksp_norm,ksp_gamma,ksp_weibull_min,best_aic
m_2150,4,2226,39.55345911949686,9.820494421158322,16181.40021876585,16491.58133197768,16238.003203725215,16698.57216507067,3.501345097395579e-05,1.8197809167678876e-17,3.5747650020919276e-08,8.539308792873466e-25,lognorm
m_2150,5,2168,47.05488929889299,14.038863890713836,17248.39253490071,17611.490087298705,17317.750115741743,17668.36277629093,0.00181607717123763,1.4602591161694378e-18,3.376508245023547e-07,1.0669205878519528e-18,lognorm
m_2150,6,2310,59.42251082251082,11.106443460282998,17559.694677856198,17682.263518392814,17577.881830287588,17871.10677011058,2.3173330312507798e-08,3.8973363881960253e-20,1.2360664458278521e-11,8.006849754416853e-32,lognorm
m_2150,7,2791,51.21246864922966,9.452079937909746,20550.433135969426,20462.99763825843,20487.028966957474,20612.87233108354,3.009455909910835e-10,0.03622474869191039,7.451630307493094e-07,5.286704362576344e-07,norm
m_2150,8,2852,45.85028050490884,10.217121691437484,21274.935716648404,21354.091641296072,21259.033785310712,21502.234310210344,0.0009013948063869352,4.894361161174285e-09,0.010041833533427354,3.3995244784114554e-12,gamma
m_2150,9,2871,45.12156043190526,9.922348730128354,21143.68792644442,21328.227287803777,21166.991882292972,21515.8801609466,0.0003063414268301847,1.0454724694794875e-14,3.3724061743065747e-07,1.915968026908725e-18,lognorm
m_2150,10,2836,40.34238363892807,9.421461887982133,20523.76022309103,20774.460151100197,20565.133609760498,20963.341813352155,6.959544338416494e-08,8.506630511420765e-20,3.528745890527661e-11,8.942454968484363e-22,lognorm
m_2150,11,2822,42.691708008504605,10.290324664632463,20897.94676246834,21169.805026428596,20939.69343010343,21365.98494504964,2.0552824421404148e-08,1.2320199383403041e-23,8.631011983770555e-13,4.301520306436553e-21,lognorm
m_2150,12,2826,36.61995753715499,10.7333675276536,21007.489563093535,21438.05633008347,21072.476981089654,21551.116823217933,1.8783384006861328e-07,2.566901979505611e-29,9.02625323928144e-13,9.1567472438311e-33,lognorm
m_2150,13,2759,35.6904675607104,9.40089488728138,19873.150888906013,20198.4641845187,19924.60078569346,20354.58318721164,2.9303088790942704e-06,2.322892035157671e-24,4.330132493919417e-11,2.4263999502276955e-25,lognorm
m_2150,14,2870,33.45156794425087,9.673678644505438,20640.84357773009,21175.11286246118,20737.51929697312,21357.60877980211,0.008068937434026889,1.554855284796853e-17,3.93267501854917e-06,2.3947500247068564e-21,lognorm
m_2150,15,2522,31.837827121332275,9.096074379032512,17735.690292594452,18297.485718205626,17860.566983314908,18457.43914219428,5.6070949447004763e-11,2.9800872993684467e-33,2.578287854629162e-17,4.4326774966910714e-32,lognorm
m_2150,16,2214,27.88527551942186,7.214010131537677,14836.804924069544,15036.898467056883,14858.058255808051,15168.400941166432,0.00014747062059163575,1.3573804792629426e-08,0.0002981086670714268,7.290107661771219e-12,lognorm
m_2150,17,2411,29.083367897138118,10.193447099550252,17891.82632376215,18041.576347266673,17865.12393261589,17970.754837710447,1.0043002160348038e-10,5.001202604007204e-16,6.087561320402781e-10,2.3672124393732306e-11,gamma
m_2150,18,2493,26.168872843963097,9.308672606393301,17655.693841422486,18202.32679519008,17750.362266994118,18148.23869504944,3.4521437682673325e-05,1.4023461293928496e-24,5.940601505578639e-10,1.810495920996063e-20,lognorm
m_2150,19,2505,25.56926147704591,8.288274986328277,17252.321304630732,17708.239789088955,17337.656646366013,17711.4607594628,5.987362536718591e-12,3.20022942854583e-31,2.5129743812825016e-17,3.2135677145863382e-24,lognorm
m_2150,20,2638,26.22289613343442,9.212365545901022,18776.454340885743,19205.923893396746,18815.694079631918,19169.85476856483,0.008637324566738536,8.159546811151875e-18,5.4728385927732156e-05,4.318637855865878e-15,lognorm
m_2150,21,2836,27.368476727785612,9.122384120277594,19993.624004335477,20591.48665084528,20102.227773636223,20601.4718606932,1.007657740107838e-09,2.4561846136757313e-31,1.88108207795449e-14,8.118236910024575e-24,lognorm
m_2150,22,2870,24.823693379790942,9.95671448633685,20326.40631075419,21340.645800514307,20525.434084066543,21143.015204547148,4.002768096869248e-06,4.701402048037133e-33,1.7151670370982923e-12,6.402534815830015e-32,lognorm
m_2150,23,2560,24.71875,9.267498229700397,17668.179063302312,18668.714230912294,17885.89232838614,18585.630163478552,1.706397652811219e-09,3.422751272411028e-43,1.1308771664641094e-17,6.794861240536949e-38,lognorm
m_2151,0,2542,31.984657749803304,8.056849582658076,17704.345582867827,17825.764449361806,17691.169634861042,17961.688386285845,2.5224741243343478e-06,1.0886284541120153e-10,0.0035335064536105637,5.085133164798237e-14,gamma
m_2151,1,2637,33.37239287068638,7.610002553895883,18060.095054136487,18190.87236252294,18061.293309824337,18373.23084505991,1.9404937596126138e-05,1.0581736738261752e-06,6.208675857458223e-05,3.754315966180104e-11,lognorm
m_2151,2,2855,32.339754816112084,7.8535286129029425,19931.91170925831,19874.23738702135,19848.964071860806,19991.136214549646,6.216048680345794e-10,1.191269662523215e-05,1.7019895367806845e-05,1.0469954180831955e-09,gamma
m_2151,3,2840,37.40633802816902,8.090184583182408,20092.527884240088,19938.471655707337,19990.911022918783,20031.82860220532,1.640842126713068e-11,0.00262503795633824,2.894817221391395e-07,1.8266037218282986e-08,norm
m_2151,4,2763,40.40209916757148,8.49615671399325,19567.03904004449,19668.56080087349,19558.535321355812,19899.88801676584,0.00014962274638133185,9.438336876357245e-11,0.0007118714925892499,2.840977336840823e-17,gamma
m_2151,5,2643,47.30268634127885,12.051940983537405,20273.666657467416,20662.55626589422,20351.20092870131,20870.232406858035,0.002743038304549889,9.954771242566202e-16,7.919818574667546e-06,2.59888574616406e-21,lognorm
m_2151,6,2801,60.1567297393788,11.091907687722157,21308.06998555811,21432.51460429944,21324.24410600114,21635.158760195365,1.2661821324996224e-09,3.0506529215556163e-22,1.1410206615295466e-12,1.6206191382872097e-32,lognorm
m_2151,7,2830,52.386925795053,9.480747019486236,20678.62761716608,20766.021315742768,20676.762113261917,21038.594571451707,0.0001740186285469839,6.890178352303077e-08,0.0028719259390259906,1.3542909913312394e-17,gamma
m_2151,8,2729,48.61121289849762,10.097373064028876,20393.00815006213,20368.965087150158,20345.624357784567,20504.84343785941,6.473324108866496e-08,0.0005499011936074408,0.00011270842231192763,7.896633701528136e-10,gamma
m_2151,9,2496,49.99158653846154,10.211521414474943,18888.86545443025,18686.33619102576,18786.366918327243,18684.755464937196,8.720920030499398e-16,4.326349497550668e-05,1.4136537043493049e-11,0.025516600377388787,weibull_min
m_2151,10,2521,42.04601348671162,10.3433069846848,19097.664184347967,18938.112561322883,18991.964299634168,18975.080584112526,1.1393429517573054e-14,0.000649315510883796,7.128986908401945e-10,2.6052954464690564e-06,norm
m_2151,11,2782,43.93170381020848,10.244828677843662,21037.587930371043,20845.13929923267,20925.50090820526,20852.707738865076,1.0271679724078754e-20,9.967639174011243e-05,3.851242922796795e-14,0.00034174575125024226,norm
m_2151,12,2772,41.91450216450217,9.931561207249496,20720.011075972572,20598.0540846649,20626.311299240595,20651.338871115477,2.365374290012241e-06,1.5430806844755337e-08,2.13029161044846e-06,1.997222787348491e-12,norm
m_2151,13,2436,40.38259441707718,10.085053362029228,18240.858564300845,18176.525875656178,18160.280082696154,18267.954272270337,1.4098723917188324e-13,4.1630975272333776e-09,4.620049554052755e-09,7.33235020690193e-14,gamma
m_2151,14,2455,37.66191446028513,10.176875448331376,18332.083923449434,18362.767742963217,18280.2216645,18445.488516631813,7.745832684710585e-16,8.639643953862282e-07,6.150535517133494e-10,1.8904927175399308e-10,gamma
m_2151,15,2539,34.689641591177626,9.187629695121062,18116.814781383047,18471.652698700105,18176.027776603667,18651.10937998775,2.4504910176869045e-07,6.296665868456728e-26,4.1670369573489616e-12,1.4267370051046538e-29,lognorm
m_2151,16,2472,32.87540453074433,8.498658389160191,17461.866856461533,17598.938814900514,17441.353517272204,17785.313864124062,6.995595114502816e-13,2.7001881784934614e-12,6.007517208786612e-08,2.3082171211380696e-19,gamma
m_2151,17,2259,32.32093846834883,10.284365825778707,16785.998704239963,16944.527415445176,16774.406861163865,16942.632527505106,1.391987581516244e-10,2.4181069502193195e-12,1.5775318515414558e-08,2.3125313410860515e-08,gamma
m_2151,18,2144,29.20848880597015,9.863617696341246,15399.048360256362,15903.010127157053,15499.435029484623,15898.289150845885,3.6355813531861876e-06,1.837045901456304e-24,5.562676101704308e-10,4.248452259151315e-21,lognorm
m_2151,19,2149,29.307119590507213,8.47829465494426,14881.018899963876,15289.612905604388,14971.383584598387,15377.304567536547,2.989636226536055e-11,2.0933344444473647e-29,2.115274228075053e-16,3.1037635712193467e-25,lognorm
m_2151,20,2295,29.66230936819172,8.19233101609524,15853.401398593995,16170.608866369612,15916.69839968178,16253.345353769615,3.65147219883129e-12,1.801697313079938e-24,2.3912185514072144e-16,1.1944499459474685e-20,lognorm
m_2151,21,2630,31.303041825095058,9.590820144882429,18658.885917759508,19359.45838064498,18819.68078960498,19480.853567349353,2.7311148247444763e-12,2.343051170645879e-33,8.77375630458532e-18,6.257467740687672e-34,lognorm
