hour,n,lam,io,sigma,sig_between,sig_within,frac_between,bimodal,gmm_sep,skew,frac90,p95,trace,vm
11,274,0.2308654848800834,0.21021897810218976,0.1310962910128612,0.025165494671852317,0.12865821153447515,0.036849375637947074,True,0.20106322273777888,-0.7007119503123612,0.0,1.0666666666666669,fastStorage,1057.csv
12,271,0.3059176370984488,0.26675532339738983,0.1475875008151737,0.029060819297423858,0.1446980966655449,0.038771852392824956,True,0.20745237772538866,3.0322387946947327,0.0,1.0666666666666669,fastStorage,1057.csv
13,284,0.23000637859792786,0.2365282604719224,0.1310436805451047,0.02246104169688357,0.12910440665096723,0.029378365080662584,True,0.21405278491185342,-0.4521739649917192,0.0,1.0666666666666669,fastStorage,1057.csv
14,272,5.997093837535013,0.2133578431372549,0.14301729865452736,0.052660898547424936,0.1329690846724008,0.1355811735973405,True,0.20466140016827575,2.041029202086343,0.0,1.0666666666666669,fastStorage,1057.csv
15,276,5.9821859903381664,0.21594468333598762,0.15461500758932462,0.04598178330401326,0.1476193624699337,0.08844399038061097,True,0.206838343158233,2.5361981201444923,0.0,1.0666666666666669,fastStorage,1057.csv
16,276,0.3436507936507936,0.22042788129744648,0.11549831113646926,0.01895856410646033,0.11393170200781647,0.026943847711789953,True,0.20176064469051028,0.08377790038740134,0.0,1.0666666666666669,fastStorage,1057.csv
17,276,0.22579365079365077,0.22010006901311246,0.11493894343283946,0.01751749974234291,0.11359620557146478,0.023227894154395877,True,0.20296712250694487,0.23754644378459505,0.0,1.0666666666666669,fastStorage,1057.csv
18,276,0.23609385783298822,0.21994478951000687,0.12582336234641928,0.01643253246866403,0.1247457028872122,0.017056362794656797,True,0.2137790510351983,0.3045167167394629,0.0,1.0666666666666669,fastStorage,1057.csv
19,276,0.2260869565217391,0.2221532091097308,0.12098631941427164,0.016948512021880514,0.1197933112726096,0.019624139454666123,True,0.2017471438887252,-0.08484413737991542,0.0,1.0666666666666669,fastStorage,1057.csv
20,276,0.23307453416149065,0.22158385093167698,0.11519490796512201,0.017065990904906188,0.11392374105306843,0.021948076005057673,True,0.19305020581136081,0.1572738365023571,0.0,1.0666666666666669,fastStorage,1057.csv
21,273,0.2196930054072911,0.21630908773765914,0.14430110990981804,0.04737713133310507,0.13630193596516194,0.10779489121448957,False,1.0106639226339778,-2.5060468923778854,0.0,1.0666666666666669,fastStorage,1057.csv
22,274,0.23015293708724363,0.22017726798748694,0.12416976708165829,0.02259414936399628,0.12209682826196058,0.033110082122894686,True,0.2062542776666592,-0.9824930829254717,0.0,1.0666666666666669,fastStorage,1057.csv
23,276,0.2420462387853692,0.21794340924775701,0.11780515783177255,0.024056987120567457,0.11532266291778771,0.041701709676754115,True,0.19178172409034633,0.22282667846874624,0.0,1.0666666666666669,fastStorage,1057.csv
0,360,4.8187037037037035,0.21158730158730157,0.14015874203684697,0.04332056772783187,0.13329591659570725,0.09553178602396627,False,0.014223449428834953,-0.01820521174284701,0.0,1.1333333333333333,fastStorage,1053.csv
1,360,24.54111111111111,0.21648148148148144,0.19532420471529238,0.07073607654142089,0.18206579146887447,0.13115045619615093,True,0.27665346215098935,0.7984421201341851,0.0,1.4,fastStorage,1053.csv
2,360,7.110858585858586,0.21607744107744106,0.13840742789912633,0.03207811319180504,0.13463881591764537,0.053715402589938024,True,0.22518917463964175,0.42783143858980804,0.0,1.2,fastStorage,1053.csv
3,360,5.047037037037037,0.2211111111111111,0.12591227952951936,0.019741099921788307,0.12435510086119422,0.024581394710973925,True,0.2221524611313964,0.2943659778579858,0.0,1.0666666666666669,fastStorage,1053.csv
4,354,4.873258003766478,0.21864406779661014,0.12682636197813854,0.015645205700570708,0.12585767211893223,0.01521750612989327,True,0.22189817743384158,0.3180587540808474,0.0,1.0666666666666669,fastStorage,1053.csv
5,360,4.85,0.21870370370370368,0.12266032717413296,0.01815200010895664,0.12130977188384198,0.02189982948902304,True,0.2171340552423475,0.2010109892751777,0.0,1.0666666666666669,fastStorage,1053.csv
6,360,4.82537037037037,0.2187037037037037,0.12755853549924911,0.012569114872208085,0.12693776951736008,0.009709354138878901,True,0.22675611465034445,0.24314030046737053,0.0,1.0666666666666669,fastStorage,1053.csv
7,360,4.8447619047619055,0.2941005291005291,0.11485041262757131,0.01681813191151049,0.11361235724924654,0.021443239158058236,True,0.20946361121680784,0.11364361149946078,0.0,1.0666666666666669,fastStorage,1053.csv
8,360,4.825072751322751,0.21727513227513226,0.12902979354061347,0.017512108730408885,0.1278358856853101,0.018420307904412864,False,0.20971227207865323,-0.5075483829770429,0.0,1.0666666666666669,fastStorage,1053.csv
9,357,4.91204481792717,0.2390022675736961,0.13407027514381234,0.025231973841015762,0.1316745464135869,0.035419094176543084,False,0.1732934642558738,-1.0883607284422985,0.0,1.0666666666666669,fastStorage,1053.csv
10,358,4.874275073157754,0.22170790103750995,0.12782692286124078,0.018496003870911704,0.12648169847444654,0.0209368405921645,True,0.20505798063954594,-0.5647638127920672,0.0,1.0666666666666669,fastStorage,1053.csv
11,358,4.912476722532588,0.2230912476722532,0.12272522700829566,0.019786166812721835,0.12111972980112218,0.025992954357748753,True,0.2103227403893142,-0.12762778630150332,0.0,1.0666666666666669,fastStorage,1053.csv
12,353,4.938810198300284,0.22304060434372044,0.14533076655687993,0.052050347426175765,0.13569006242472118,0.128272079917294,True,0.21027925987471413,-1.9273189158932724,0.0,1.0666666666666669,fastStorage,1053.csv
