method,param,share_at_target,mean_coverage,median_headroom,median_ceiling
empirical,0.99416,0.7047677261613692,0.9709550189874591,0.0999985127074278,3.0333333015441895
empirical,0.99499,0.7149551752241239,0.9721671187682187,0.10988438793222417,3.0928503274917603
empirical,0.9957,0.7241238793806031,0.9729569671766688,0.11863152497796822,3.152383327484131
empirical,0.99632,0.7334963325183375,0.9735855694836795,0.12500004470348336,3.195765256881714
empirical,0.99684,0.758761206193969,0.9750967442139638,0.1329536036193943,3.2854431867599487
empirical,0.99729,0.7675224123879381,0.9757925790096195,0.14365616487142008,3.421552538871765
empirical,0.99768,0.7744498777506112,0.9763244670271872,0.1509684903309073,3.5130858421325684
empirical,0.99801,0.7797473512632437,0.9767061099965239,0.15674907905258276,3.624222159385681
empirical,0.99829,0.7834148329258354,0.9770719370967034,0.16540618966883053,3.6832988262176514
empirical,0.99853,0.7878973105134475,0.9772966154617694,0.1694732590998395,3.7547109127044678
empirical,0.99874,0.7897310513447433,0.9774622692639778,0.17280866956771732,3.792643189430237
empirical,0.99892,0.7923797881010595,0.9776290484760605,0.17726742163120163,3.8249964714050293
empirical,0.99908,0.7948247758761207,0.9777178349641229,0.1811020608814694,3.840483546257019
empirical,0.99921,0.7976772616136919,0.977852587299239,0.1844927447116146,3.8622541427612305
empirical,0.99932,0.7986960065199674,0.9778987854920449,0.18715575745191437,3.8802002668380737
empirical,0.99942,0.7995110024449877,0.9779575644252885,0.18925091422386908,3.908458948135376
empirical,0.9995,0.7995110024449877,0.9779677851666685,0.1903274749633052,3.917515516281128
