m,lam,ncont,mu,sig,meancpu,dec
m_230,13200.0,30,3.7529551847441525,0.2803425668622305,44.322335987864996,7
m_249,9600.0,17,3.6575856791241925,0.31321098520587604,40.69063982189527,2
m_261,12400.0,31,3.6058975656941965,0.3997130150984588,39.80395004356666,6
m_265,12400.0,28,3.6673802156346724,0.31278464601245476,41.114986322782336,6
m_267,9200.0,23,3.7512564628758707,0.29041685362178643,44.41688708036622,1
m_296,10000.0,15,3.7166466965474583,0.2832256345485571,42.800551832873474,3
m_318,9700.0,12,3.6223270995556462,0.3496526762630244,39.61331513792767,3
m_323,12400.0,28,3.6819168698923943,0.2887421504088322,41.38499120578464,6
m_327,13200.0,32,3.70673091156225,0.305865248943431,42.63027027027027,7
m_333,4000.0,7,3.5072656340837063,0.3815946329869305,35.93467773060594,0
m_334,13600.0,31,3.7347550401142415,0.27889121375972775,43.520792467634365,8
